X,Z,Success?,ReachedExit
90.22009,-17.87137,-1,0
90.44798,-14.73542,-1,0
42.37852,-28.18301,1,1
80.57175,-28.14818,1,3
67.90636,-28.98515,1,1
70.5413,-28.66018,1,1
91.69299,-22.49962,-1,0
8.296028,-9.026118,-1,0
37.87436,-28.44794,-1,0
19.37337,-28.5467,1,1
50.59567,-8.941661,1,2
73.52811,-28.28527,1,1
44.42667,-25.69975,1,1
76.12938,-9.828046,1,2
30.58802,-28.42782,1,1
89.32062,-11.15697,1,2
38.10179,-9.843349,1,1
31.66426,-9.975436,1,1
36.13233,-28.24058,1,1
10.65314,-9.492694,1,1
51.63416,-7.488773,1,2
53.90301,-9.029459,1,2
76.55757,-9.601531,1,2
71.22074,-9.148525,1,2
38.79834,-9.67837,1,1
49.37827,-4.620813,1,2
88.26356,-15.12375,1,3
88.24816,-28.88293,1,3
17.01213,-28.95367,1,1
94.88964,-9.85377,1,2
90.19624,-16.34407,-1,0
3.792496,-28.13895,1,1
49.84481,-7.912247,1,2
87.98398,-20.85109,1,3
51.00853,-19.78247,-1,0
18.81235,-9.397781,1,1
3.883189,-9.796641,1,1
89.89658,-13.59056,-1,0
59.59502,-28.18685,1,1
18.18409,-28.77803,1,1
80.83744,-28.5378,1,3
74.04272,-28.33212,1,1
83.01054,-28.50009,1,3
7.447593,-28.2318,1,1
88.53103,-19.20292,-1,0
46.25524,-9.100136,1,2
2.745045,-28.0332,1,1
89.69473,-9.119988,1,2
50.4163,-18.06042,-1,0
9.251404,-9.88509,-1,0
48.48785,-22.1402,-1,0
44.81462,-28.02574,-1,0
38.62941,-28.80854,1,1
25.24356,-9.430247,1,1
87.35668,-19.33106,1,3
25.90388,-9.70295,1,1
55.48623,-28.5645,1,1
51.22196,-19.13585,-1,0
56.29193,-28.42227,1,1
45.56457,-14.79704,1,2
75.63509,-28.05349,1,1
43.50647,-28.31893,1,1
52.21331,-6.994183,1,2
90.48264,-28.01346,1,3
91.58846,-27.17014,1,3
83.54668,-9.082667,1,2
4.83505,-28.57585,1,1
44.03804,-20.0008,1,1
37.79852,-9.367905,1,1
88.10463,-10.76698,1,3
91.16489,-26.23885,1,3
34.30333,-9.019806,1,1
3.287867,-9.867667,1,1
67.73314,-9.238054,1,2
30.34822,-9.297218,1,1
72.65076,-28.94054,1,1
8.138209,-9.905946,1,1
50.88801,-25.68105,1,1
17.57059,-9.469206,1,1
84.88994,-28.73888,1,3
47.21639,-24.41882,1,1
48.29469,-23.96942,-1,0
49.90131,-12.63392,-1,0
33.07087,-28.22322,1,1
46.75104,-21.89339,1,1
13.1649,-9.522853,1,1
69.89732,-28.83061,1,1
49.74134,-10.06896,1,2
11.10644,-9.43432,1,1
30.66142,-9.017332,1,1
43.29212,-9.862737,1,1
31.76063,-9.216722,1,1
16.73941,-28.03767,1,1
44.82478,-23.87755,1,1
25.86584,-28.58778,1,1
15.67804,-28.75001,1,1
46.33138,-20.32703,1,1
5.506385,-28.42964,1,1
48.22823,-5.89645,1,2
18.73095,-9.056495,1,1
51.4372,-28.6544,1,1
87.15383,-19.76125,1,3
42.34045,-9.299873,1,1
89.23877,-14.63792,-1,0
45.4654,-16.91933,1,1
78.68559,-28.18951,1,3
3.351938,-28.68377,1,1
31.30685,-9.189228,1,1
26.39808,-9.775269,1,1
90.82143,-28.97371,1,3
91.04843,-11.39897,1,2
31.19178,-9.591508,1,1
27.52014,-9.093902,1,1
91.85355,-9.003106,1,2
41.18961,-9.284701,1,1
10.76842,-9.620693,1,1
48.82206,-4.660052,1,2
21.13239,-28.61318,1,1
53.71415,-9.649302,1,2
51.34104,-3.060867,0,0
91.43839,-22.45606,-1,0
67.64212,-9.700762,-1,0
91.48398,-9.974417,-1,0
17.94075,-28.23811,1,1
66.90746,-28.15351,1,1
36.63792,-28.88709,1,1
86.80884,-28.26632,1,3
88.16777,-9.342187,1,3
22.17393,-28.11383,1,1
52.95693,-19.86886,1,1
47.71271,-25.41464,1,1
64.98228,-28.99796,1,1
28.70364,-9.339846,1,1
86.16067,-28.20551,1,3
91.40418,-25.02803,1,3
80.10932,-28.98355,1,3
88.92742,-22.47566,-1,0
87.59278,-12.59311,-1,0
87.11101,-24.30655,-1,0
14.22309,-9.398092,1,1
6.553175,-28.04319,1,1
88.90808,-19.13389,-1,0
89.41417,-20.28202,-1,0
87.92625,-16.67139,1,3
52.5456,-10.73836,1,2
79.14365,-28.36883,1,3
13.57485,-9.01039,1,1
70.15862,-9.214862,1,2
58.36574,-9.710314,1,2
40.1101,-9.675562,1,1
75.81787,-9.517093,1,2
38.26346,-28.3467,1,1
38.9561,-28.74335,1,1
44.65558,-9.679645,1,2
46.63786,-28.55986,1,1
21.04532,-9.664326,1,1
59.63505,-9.470642,1,2
66.10439,-9.865389,1,2
45.48146,-28.01077,1,1
20.68637,-28.58913,1,1
35.42347,-28.10281,1,1
57.77029,-9.963775,1,2
69.06613,-9.760195,1,2
46.23179,-18.9433,1,1
88.05266,-24.85831,1,3
51.80571,-15.73999,-1,0
49.52432,-26.6662,1,1
56.30502,-9.513351,1,2
87.21739,-22.70375,1,3
91.17244,-25.58157,1,3
46.40893,-6.745381,1,2
44.6356,-13.50155,1,2
78.36237,-9.115175,1,2
10.02665,-28.78437,1,1
89.62416,-24.00739,1,3
26.42481,-9.776004,1,1
95.19057,-9.970142,1,2
30.69369,-28.40686,1,1
88.97411,-27.88392,1,3
44.02415,-6.975152,1,2
27.49162,-9.191339,1,1
93.23138,-9.902274,1,2
87.64792,-15.52213,1,3
7.823082,-28.96675,1,1
28.24421,-9.449394,1,1
6.713187,-28.83986,1,1
52.92992,-28.63822,1,1
4.799332,-9.045115,1,1
45.45795,-3.056053,1,2
29.32063,-28.13784,1,1
91.33773,-26.16052,1,3
88.69003,-21.56177,-1,0
49.71805,-10.73875,-1,0
